type,nr,localized_name,api_name,unoconv,extensions,flags
drawing,19,XPM - X PixMap,draw_xpm_Export,xpm,xpm,EXPORT ALIEN SUPPORTSSELECTION
drawing,20,ODF Drawing Template,draw8_template,otg,otg,IMPORT EXPORT TEMPLATE TEMPLATEPATH OWN
drawing,21,BMP - Windows Bitmap,draw_bmp_Export,bmp,bmp,EXPORT ALIEN SUPPORTSSELECTION
drawing,22,PCD - Kodak Photo CD (384x256),draw_PCD_Photo_CD_Base4,,,IMPORT ALIEN
drawing,23,Macromedia Flash (SWF),draw_flash_Export,swf,swf,EXPORT ALIEN 3RDPARTYFILTER
drawing,24,PPM - Portable Pixelmap,PPM - Portable Pixelmap,,,IMPORT ALIEN
drawing,25,DXF - AutoCAD Interchange Format,DXF - AutoCAD Interchange,,,IMPORT ALIEN
drawing,26,OpenOffice.org 1.0 Drawing,StarOffice XML (Draw),sxd,sxd,IMPORT EXPORT TEMPLATE OWN ALIEN PREFERED
drawing,27,TIFF - Tagged Image File Format,TIF - Tag Image File,,,IMPORT ALIEN
drawing,28,PDF - Portable Document Format,draw_pdf_Export,pdf,pdf,EXPORT ALIEN 3RDPARTYFILTER
drawing,29,PCX - Zsoft Paintbrush,PCX - Zsoft Paintbrush,,,IMPORT ALIEN
drawing,30,GIF - Graphics Interchange Format,draw_gif_Export,gif,gif,EXPORT ALIEN SUPPORTSSELECTION
drawing,31,RAS - Sun Raster Image,draw_ras_Export,ras,ras,EXPORT ALIEN SUPPORTSSELECTION
drawing,32,BMP - Windows Bitmap,BMP - MS Windows,,,IMPORT ALIEN
drawing,33,EPS - Encapsulated PostScript,EPS - Encapsulated PostScript,,,IMPORT ALIEN
drawing,34,XBM - X Bitmap,XBM - X-Consortium,,,IMPORT ALIEN
drawing,35,StarDraw 3.0 Template,StarDraw 3.0 Vorlage,vor3,vor,IMPORT EXPORT TEMPLATE TEMPLATEPATH OWN ALIEN 3RDPARTYFILTER
drawing,36,StarDraw 5.0 Template,StarDraw 5.0 Vorlage,vor,vor,IMPORT EXPORT TEMPLATE TEMPLATEPATH OWN ALIEN 3RDPARTYFILTER PREFERED
drawing,37,HTML Document (OpenOffice.org Draw),draw_html_Export,html,html,EXPORT ALIEN
drawing,38,PCD - Kodak Photo CD (192x128),draw_PCD_Photo_CD_Base16,,,IMPORT ALIEN
drawing,39,PCD - Kodak Photo CD (768x512),draw_PCD_Photo_CD_Base,,,IMPORT ALIEN
drawing,40,StarDraw 3.0,StarDraw 3.0,sxd3,sxd,IMPORT EXPORT TEMPLATE OWN ALIEN 3RDPARTYFILTER
drawing,41,PCT - Mac Pict,draw_pct_Export,pct,pct,EXPORT ALIEN SUPPORTSSELECTION
drawing,42,PCT - Mac Pict,PCT - Mac Pict,,,IMPORT ALIEN
drawing,43,MET - OS/2 Metafile,draw_met_Export,met,met,EXPORT ALIEN SUPPORTSSELECTION
